Message,Label
"Congratulations! You won ₹50,000. Click here.",Scam
"Your bank account will be blocked. Verify now.",Scam
"Claim your free iPhone today!",Scam
"Send your OTP to continue.",Scam
"Meeting at 10 AM tomorrow.",Safe
"Happy Birthday! Have a great day.",Safe
"Your Amazon order has been shipped.",Safe
"Can we meet this evening?",Safe
Message,Label
"Dear customer, your KYC has expired. Update now to avoid account suspension: https://kyc-update.example",Scam
"Congratulations! You have won ₹50,000. Claim your reward now: https://reward.example",Scam
"Your SBI account has been temporarily blocked. Verify your details immediately: https://sbi-secure.example",Scam
"Your electricity bill is overdue. Pay within 2 hours to avoid disconnection: https://electricity-pay.example",Scam
"Dear user, your PAN card verification is pending. Complete verification now: https://pan-update.example",Scam
"Your parcel delivery has failed. Pay ₹49 to reschedule delivery: https://parcel-pay.example",Scam
"You are eligible for a personal loan of ₹5,00,000 with no documents. Apply now: https://loan-offer.example",Scam
"Your credit card has been blocked due to suspicious activity. Verify now: https://card-secure.example",Scam
"Congratulations! You have been selected for a free iPhone. Confirm your address here: https://gift.example",Scam
"Your bank account will be suspended today unless you update your KYC: https://bank-kyc.example",Scam
"Your UPI account has received ₹10,000. Click below to claim the amount: https://upi-claim.example",Scam
"Dear customer, your income tax refund of ₹18,450 is ready. Verify your account: https://tax-refund.example",Scam
"Urgent! Your WhatsApp account will be deactivated within 24 hours. Verify now: https://wa-verify.example",Scam
"You have won a lucky draw prize worth ₹1,00,000. Claim before midnight: https://luckydraw.example",Scam
"Your ATM card has been disabled. Activate it immediately: https://atm-activate.example",Scam
"Dear customer, your mobile SIM will be blocked today. Update your KYC now: https://sim-kyc.example",Scam
"Your FASTag account is inactive. Recharge immediately to avoid penalties: https://fastag-pay.example",Scam
"Congratulations! You have been selected for a government subsidy of ₹25,000. Register now: https://subsidy.example",Scam
"Your net banking access has been locked. Restore access by verifying your identity: https://bank-login.example",Scam
"Your insurance maturity amount is ready for release. Confirm your bank details here: https://insurance.example",Scam
"Your OTP for login is 562891. Do not share it with anyone.",Safe
"Your Amazon order has been shipped and will be delivered tomorrow.",Safe
"Your Swiggy order has been delivered successfully.",Safe
"Dear Customer, your account statement is available in the banking app.",Safe
"Your train ticket has been confirmed. Have a safe journey.",Safe
"Your electricity bill payment of ₹850 was successful.",Safe
"Your Flipkart order has been delivered successfully.",Safe
"Your appointment with Dr. Kumar is confirmed for tomorrow at 10:00 AM.",Safe
"Your salary of ₹45,000 has been credited to your account.",Safe
"Thank you for shopping with us. Your invoice is available in the app.",Safe
